Tool_Name,Category,Existing_TOL_ID,Usage_Count,Departments_Using,Source_Activities,Suggested_TOL_ID,Description
Antigravity IDE,Development_Tools,NONE,3,"AID,DGN,DEV,SLS",Installation and Configuration,TOL-221,Google's AI-powered IDE alternative to VS Code with Gemini 3 Pro integration
Google Cloud Console,Cloud_Platforms,TOL-081,2,"AID,DEV",Automation Infrastructure Setup,TOL-081,Cloud project management and service account configuration
Google Sheets,Productivity,TOL-045,2,"AID,FIN",Data Consolidation and Reporting,TOL-045,Spreadsheet tool for data storage and automation integration
Google AI Studio,AI_Tools,NONE,1,VID,Video Transcription,TOL-222,Google's AI platform for transcription and analysis
Runway,Design_Tools,NONE,1,DGN,Animation Creation,TOL-223,AI-powered animation and video generation tool
Midjourney,AI_Image_Generation,TOL-156,2,DGN,Course Visual Creation,TOL-156,AI image generation for design assets
Leonardo AI,AI_Image_Generation,NONE,1,DGN,Image Generation,TOL-224,AI image generation tool alternative to Midjourney
ChatGPT-5,AI_Tools,TOL-001,3,"AID,DGN,DEV",Character Refinement and Planning,TOL-225,OpenAI's latest language model for text generation and refinement
Perplexity AI,AI_Tools,TOL-148,1,AID,Research and Information Gathering,TOL-148,AI-powered search and research assistant
Discord,Communication,TOL-092,2,"AID,LGN",Team Communication and Report Consolidation,TOL-092,Team communication platform
Notion,Productivity,TOL-058,1,HRM,ATS Database Management,TOL-058,All-in-one workspace for notes databases and collaboration
n8n,Automation,TOL-119,1,FIN,Automation Workflow Design,TOL-119,Workflow automation platform for connecting apps and services
Cursor,Development_Tools,TOL-201,1,AID,IDE Alternative,TOL-201,AI-powered code editor
Gemini 3 Pro,AI_Tools,TOL-003,2,"AID,DGN",AI Model Access,TOL-003,Google's most advanced AI language model
Claude,AI_Tools,TOL-002,1,AID,AI Extension,TOL-002,Anthropic's AI assistant
